"","fips_code","mkt","statefp"
"1","01001",262,"01"
"2","01003",264,"01"
"3","01005",54,"01"
"4","01007",101,"01"
"5","01009",145,"01"
"6","01011",262,"01"
"7","01013",262,"01"
"8","01015",233,"01"
"9","01017",92,"01"
"10","01019",279,"01"
"11","01021",145,"01"
"12","01023",244,"01"
"13","01025",264,"01"
"14","01027",145,"01"
"15","01029",92,"01"
"16","01031",54,"01"
"17","01033",84,"01"
"18","01035",328,"01"
"19","01037",145,"01"
"20","01039",329,"01"
"21","01041",262,"01"
"22","01043",330,"01"
"23","01045",54,"01"
"24","01047",101,"01"
"25","01049",233,"01"
"26","01051",262,"01"
"27","01053",331,"01"
"28","01055",233,"01"
"29","01057",101,"01"
"30","01059",84,"01"
"31","01061",54,"01"
"32","01063",101,"01"
"33","01065",101,"01"
"34","01067",54,"01"
"35","01069",54,"01"
"36","01071",281,"01"
"37","01073",145,"01"
"38","01075",254,"01"
"39","01077",84,"01"
"40","01079",281,"01"
"41","01081",259,"01"
"42","01083",281,"01"
"43","01085",262,"01"
"44","01087",262,"01"
"45","01089",281,"01"
"46","01091",101,"01"
"47","01093",254,"01"
"48","01095",281,"01"
"49","01097",264,"01"
"50","01099",264,"01"
"51","01101",262,"01"
"52","01103",281,"01"
"53","01105",101,"01"
"54","01107",101,"01"
"55","01109",262,"01"
"56","01111",92,"01"
"57","01113",259,"01"
"58","01115",145,"01"
"59","01117",145,"01"
"60","01119",244,"01"
"61","01121",145,"01"
"62","01123",92,"01"
"63","01125",101,"01"
"64","01127",84,"01"
"65","01129",264,"01"
"66","01131",264,"01"
"67","01133",84,"01"
"68","02013",7,"02"
"69","02020",7,"02"
"70","02050",7,"02"
"71","02060",7,"02"
"72","02068",7,"02"
"73","02070",7,"02"
"74","02090",7,"02"
"75","02100",7,"02"
"76","02105",7,"02"
"77","02110",7,"02"
"78","02122",7,"02"
"79","02130",7,"02"
"80","02150",7,"02"
"81","02164",7,"02"
"82","02170",7,"02"
"83","02180",7,"02"
"84","02185",7,"02"
"85","02188",7,"02"
"86","02195",55,"02"
"87","02198",7,"02"
"88","02220",7,"02"
"89","02230",7,"02"
"90","02240",7,"02"
"91","02261",7,"02"
"92","02275",7,"02"
"93","02282",7,"02"
"94","02290",7,"02"
"95","04001",180,"04"
"96","04003",267,"04"
"97","04005",180,"04"
"98","04007",332,"04"
"99","04009",267,"04"
"100","04011",267,"04"
"101","04012",121,"04"
"102","04013",333,"04"
"103","04015",121,"04"
"104","04017",180,"04"
"105","04019",267,"04"
"106","04021",334,"04"
"107","04023",267,"04"
"108","04025",335,"04"
"109","04027",336,"04"
"110","05001",19,"05"
"111","05003",19,"05"
"112","05005",235,"05"
"113","05007",272,"05"
"114","05009",272,"05"
"115","05011",19,"05"
"116","05013",19,"05"
"117","05015",272,"05"
"118","05017",222,"05"
"119","05019",19,"05"
"120","05021",224,"05"
"121","05023",19,"05"
"122","05025",19,"05"
"123","05027",337,"05"
"124","05029",19,"05"
"125","05031",224,"05"
"126","05033",232,"05"
"127","05035",15,"05"
"128","05037",224,"05"
"129","05039",19,"05"
"130","05041",19,"05"
"131","05043",19,"05"
"132","05045",19,"05"
"133","05047",232,"05"
"134","05049",235,"05"
"135","05051",19,"05"
"136","05053",19,"05"
"137","05055",224,"05"
"138","05057",216,"05"
"139","05059",19,"05"
"140","05061",216,"05"
"141","05063",235,"05"
"142","05065",235,"05"
"143","05067",224,"05"
"144","05069",19,"05"
"145","05071",232,"05"
"146","05073",216,"05"
"147","05075",224,"05"
"148","05077",15,"05"
"149","05079",19,"05"
"150","05081",216,"05"
"151","05083",232,"05"
"152","05085",19,"05"
"153","05087",272,"05"
"154","05089",235,"05"
"155","05091",216,"05"
"156","05093",224,"05"
"157","05095",19,"05"
"158","05097",19,"05"
"159","05099",216,"05"
"160","05101",272,"05"
"161","05103",19,"05"
"162","05105",19,"05"
"163","05107",338,"05"
"164","05109",19,"05"
"165","05111",224,"05"
"166","05113",19,"05"
"167","05115",291,"05"
"168","05117",19,"05"
"169","05119",19,"05"
"170","05121",224,"05"
"171","05123",224,"05"
"172","05125",19,"05"
"173","05127",232,"05"
"174","05129",235,"05"
"175","05131",232,"05"
"176","05133",216,"05"
"177","05135",235,"05"
"178","05137",235,"05"
"179","05139",19,"05"
"180","05141",19,"05"
"181","05143",272,"05"
"182","05145",19,"05"
"183","05147",19,"05"
"184","05149",291,"05"
"185","06001",339,"06"
"186","06003",49,"06"
"187","06005",176,"06"
"188","06007",156,"06"
"189","06009",17,"06"
"190","06011",156,"06"
"191","06013",340,"06"
"192","06015",164,"06"
"193","06017",133,"06"
"194","06019",165,"06"
"195","06021",156,"06"
"196","06023",341,"06"
"197","06025",342,"06"
"198","06027",82,"06"
"199","06029",343,"06"
"200","06031",119,"06"
"201","06033",344,"06"
"202","06035",49,"06"
"203","06037",345,"06"
"204","06039",165,"06"
"205","06041",346,"06"
"206","06043",73,"06"
"207","06045",127,"06"
"208","06047",73,"06"
"209","06049",49,"06"
"210","06051",49,"06"
"211","06053",123,"06"
"212","06055",110,"06"
"213","06057",347,"06"
"214","06059",348,"06"
"215","06061",133,"06"
"216","06063",49,"06"
"217","06065",349,"06"
"218","06067",176,"06"
"219","06069",123,"06"
"220","06071",350,"06"
"221","06073",351,"06"
"222","06075",352,"06"
"223","06077",17,"06"
"224","06079",125,"06"
"225","06081",353,"06"
"226","06083",125,"06"
"227","06085",354,"06"
"228","06087",355,"06"
"229","06089",257,"06"
"230","06091",49,"06"
"231","06093",164,"06"
"232","06095",110,"06"
"233","06097",127,"06"
"234","06099",356,"06"
"235","06101",286,"06"
"236","06103",156,"06"
"237","06105",257,"06"
"238","06107",119,"06"
"239","06109",357,"06"
"240","06111",358,"06"
"241","06113",176,"06"
"242","06115",286,"06"
